ts	phase	decision	why	evidence	result
2026-08-29T22:00:00Z	architecture	kept control-plane state in memory and limited it to one replica	this matches the requested durability tradeoff	api/apollo/v1/scheduler.proto	open
2026-08-30T00:10:00Z	contract	defined one public job service and one bidirectional worker stream	a small typed contract keeps demo tasks safe and gives workers one long-lived connection	api/apollo/v1/scheduler.proto	generated Go and Python bindings compile
2026-08-30T00:35:00Z	scheduler	used FIFO queue order with capacity-weighted worker selection	jobs stay predictable while workers with more slots receive more concurrent work	control-plane/internal/scheduler/scheduler_test.go	Go race tests pass
2026-08-30T00:36:00Z	delivery	made attempt IDs authoritative and ignored late results	a failed worker can finish after reassignment under at-least-once delivery	control-plane/internal/scheduler/scheduler_test.go	stale-result test passes
2026-08-30T01:05:00Z	control-plane	required worker hello as the first stream message	the scheduler needs a stable ID and capacity before it can assign work	control-plane/internal/api/server_test.go	bufconn gRPC tests and race tests pass
2026-08-30T01:06:00Z	failure-detection	removed workers after three seconds without a heartbeat	one-second heartbeats then tolerate two missed intervals before reassignment	control-plane/cmd/apollo/main.go	timeout and reassignment test passes
2026-08-30T01:20:00Z	worker	used a fixed Python task registry and bounded thread pool	arbitrary commands are outside the trust model and worker concurrency must match advertised capacity	worker/tests/test_runtime.py	Ruff, mypy, and 5 pytest cases pass
2026-08-30T01:23:00Z	integration	ran one ADD job through the Go server and Python worker	generated files compiling alone does not prove cross-language streaming works	local smoke job 8e517d5d-f4a9-455e-930a-50494eb81e7e	returned 42 on first attempt
2026-08-30T01:40:00Z	containers	used a distroless Go image and an unprivileged Python image	runtime images only need the built binaries or installed worker package	control-plane/Dockerfile, worker/Dockerfile	both images build on arm64
2026-08-30T01:43:00Z	compose	scaled workers as interchangeable Compose service replicas	generated worker IDs avoid collisions without container-specific configuration	compose.yaml	two healthy workers completed eight jobs
2026-08-30T02:05:00Z	metrics	instrumented scheduler state changes through a small observer interface	the scheduler stays testable without a global Prometheus registry	control-plane/internal/observability/metrics_test.go	Go race and metric value tests pass
2026-08-30T02:12:00Z	observability	used DNS discovery for scaled Compose workers	Prometheus must scrape each replica rather than one service address	deploy/observability/prometheus.yml	control plane and two worker targets report up
2026-08-30T02:13:00Z	dashboard	provisioned the dashboard and data source from files	a fresh stack should not require clicks in Grafana	deploy/observability/grafana/dashboards/apollo.json	Grafana API returns dashboard uid apollo-scheduler
2026-08-30T02:30:00Z	kubernetes	kept the control plane at one replica and workers at four	scheduler state is in memory while workers are interchangeable	deploy/k8s/app.yaml	all seven Kind pods became ready
2026-08-30T02:33:00Z	kubernetes-failure	deleted a live worker pod and waited for its replacement	pod replacement must work before measuring job reassignment under load	scripts/kill-worker.sh	worker deployment returned to four ready replicas
2026-08-30T02:35:00Z	kubernetes-metrics	used namespace-scoped pod discovery with scrape annotations	Prometheus needs one target per worker replica	deploy/observability/prometheus-k8s.yml	control plane and four worker targets report up
